"Data";"Cambio"
2005-03-23;2,7403
2005-03-24;2,7303
2005-03-28;2,7385
2005-03-29;2,7031
2005-03-30;2,6808
2005-03-31;2,6662
2005-04-01;2,655
2005-04-04;2,6598
2005-04-05;2,6255
2005-04-06;2,6067
2005-04-07;2,6019
2005-04-08;2,5942
2005-04-11;2,5783
2005-04-12;2,5899
2005-04-13;2,5598
2005-04-14;2,5747
2005-04-15;2,5971
2005-04-18;2,6157
2005-04-19;2,5825
2005-04-20;2,5645
2005-04-22;2,5392
2005-04-25;2,5308
2005-04-26;2,5355
2005-04-27;2,5195
2005-04-28;2,5217
2005-04-29;2,5313
2005-05-02;2,5146
2005-05-03;2,5007
2005-05-04;2,4765
2005-05-05;2,4687
2005-05-06;2,4594
2005-05-09;2,4538
2005-05-10;2,465
2005-05-11;2,4719
2005-05-12;2,4648
2005-05-13;2,4715
2005-05-16;2,4772
2005-05-17;2,4779
2005-05-18;2,4636
2005-05-19;2,4458
2005-05-20;2,4493
2005-05-23;2,4299
2005-05-24;2,4313
2005-05-25;2,4116
2005-05-27;2,3934
2005-05-30;2,3784
2005-05-31;2,4038
2005-06-01;2,4286
2005-06-02;2,4202
2005-06-03;2,4029
2005-06-06;2,4576
2005-06-07;2,4632
2005-06-08;2,4464
2005-06-09;2,4891
2005-06-10;2,4751
2005-06-13;2,4562
2005-06-14;2,4375
2005-06-15;2,4455
2005-06-16;2,4161
2005-06-17;2,3873
2005-06-20;2,3855
2005-06-21;2,3772
2005-06-22;2,3703
2005-06-23;2,3932
2005-06-24;2,3877
2005-06-27;2,383
2005-06-28;2,3694
2005-06-29;2,3549
2005-06-30;2,3504
2005-07-01;2,3459
2005-07-04;2,3715
2005-07-05;2,3668
2005-07-06;2,3901
2005-07-07;2,389
2005-07-08;2,3683
2005-07-11;2,3502
2005-07-12;2,3353
2005-07-13;2,3482
2005-07-14;2,3433
2005-07-15;2,3427
2005-07-18;2,3304
2005-07-19;2,3434
2005-07-20;2,3522
2005-07-21;2,3405
2005-07-22;2,3761
2005-07-25;2,4287
2005-07-26;2,4656
2005-07-27;2,4439
2005-07-28;2,4211
2005-07-29;2,3905
2005-08-01;2,3785
2005-08-02;2,353
2005-08-03;2,3151
2005-08-04;2,3054
2005-08-05;2,2986
2005-08-08;2,31
2005-08-09;2,3151
2005-08-10;2,2767
2005-08-11;2,3169
2005-08-12;2,3758
2005-08-15;2,3422
2005-08-16;2,3442
2005-08-17;2,3492
2005-08-18;2,3637
2005-08-19;2,4316
2005-08-22;2,4028
2005-08-23;2,4097
2005-08-24;2,4235
2005-08-25;2,4203
2005-08-26;2,4129
2005-08-29;2,3995
2005-08-30;2,3861
2005-08-31;2,3637
2005-09-01;2,3623
2005-09-02;2,3429
2005-09-05;2,3295
2005-09-06;2,3262
2005-09-08;2,3198
2005-09-09;2,3175
2005-09-12;2,3197
2005-09-13;2,3269
2005-09-14;2,33
2005-09-15;2,3012
2005-09-16;2,2937
2005-09-19;2,2905
2005-09-20;2,2948
2005-09-21;2,2827
2005-09-22;2,2752
2005-09-23;2,2682
2005-09-26;2,2583
2005-09-27;2,2533
2005-09-28;2,2433
2005-09-29;2,2244
2005-09-30;2,2222
2005-10-03;2,2339
2005-10-04;2,2424
2005-10-05;2,2685
2005-10-06;2,2886
2005-10-07;2,263
2005-10-10;2,2384
2005-10-11;2,2351
2005-10-13;2,2627
2005-10-14;2,2511
2005-10-17;2,2352
2005-10-18;2,2405
2005-10-19;2,2535
2005-10-20;2,2443
2005-10-21;2,2546
2005-10-24;2,2623
2005-10-25;2,2618
2005-10-26;2,2746
2005-10-27;2,2851
2005-10-28;2,2791
2005-10-31;2,2543
2005-11-01;2,2516
2005-11-03;2,2336
2005-11-04;2,2231
2005-11-07;2,2013
2005-11-08;2,2032
2005-11-09;2,1717
